channel_username,channel_title,channel_id,date,unique_posters,total_messages,est_percentage_of_questions,posters_pie_chart
creditscom,CREDITS Blockchain Platform,12,2018-11-07,32,71,0.1549,"{""465905809"": 0.0141, ""552195091"": 0.0282, ""582676883"": 0.0282, ""515455382"": 0.0141, ""520002454"": 0.0423, ""531814558"": 0.0141, ""489018014"": 0.0141, ""436860453"": 0.0704, ""479353127"": 0.0141, ""506451371"": 0.0423, ""465737387"": 0.0141, ""482441262"": 0.0141, ""528029103"": 0.0423, ""507717042"": 0.0141, ""534527926"": 0.0141, ""539677496"": 0.0141, ""407002561"": 0.0282, ""252844099"": 0.0141, ""726817353"": 0.0563, ""439604817"": 0.0141, ""549468500"": 0.0282, ""523213911"": 0.0141, ""395456344"": 0.0141, ""549945563"": 0.2254, ""654342619"": 0.0704, ""464172512"": 0.0141, ""480101227"": 0.0141, ""447495278"": 0.0282, ""515651695"": 0.0141, ""529722099"": 0.0282, ""518030841"": 0.0141, ""494266365"": 0.0282}"
sentinelchain,Sentinel Chain,13,2018-11-07,6,21,0.0952,"{""438501669"": 0.0952, ""602699846"": 0.2381, ""618887341"": 0.1905, ""625104497"": 0.0476, ""336249203"": 0.1429, ""647515230"": 0.2857}"
TokenPay,TokenPay,14,2018-11-07,15,47,0.2979,"{""798559590"": 0.0426, ""457104391"": 0.0213, ""376240010"": 0.0851, ""462404651"": 0.0213, ""388185453"": 0.0213, ""548631053"": 0.0213, ""545377359"": 0.0213, ""516762446"": 0.0213, ""176365905"": 0.1277, ""467627956"": 0.0426, ""465427925"": 0.0638, ""609520535"": 0.0851, ""514166584"": 0.0638, ""471147673"": 0.2979, ""497840253"": 0.0638}"
pundix,Pundi X Official | English,15,2018-11-07,17,61,0.1967,"{""505078145"": 0.0164, ""241395109"": 0.0164, ""496308871"": 0.0164, ""420616392"": 0.0164, ""631605193"": 0.1803, ""443750698"": 0.0164, ""586637227"": 0.2787, ""720826316"": 0.0164, ""543144617"": 0.0164, ""490984669"": 0.0164, ""507186609"": 0.0492, ""455518943"": 0.1148, ""247128021"": 0.0492, ""526071512"": 0.0656, ""525183067"": 0.0328, ""488863133"": 0.0164, ""431676383"": 0.082}"
digitexfutureschat,DigitexFutures — Zero-Fee Futures Trading,16,2018-11-07,59,238,0.1261,"{""254506496"": 0.0042, ""543986561"": 0.0042, ""384441474"": 0.0042, ""495026179"": 0.021, ""482844802"": 0.0084, ""477784588"": 0.0042, ""225596048"": 0.0042, ""756781073"": 0.0042, ""261244309"": 0.0084, ""459781400"": 0.0042, ""539137690"": 0.0042, ""736241691"": 0.0084, ""652113436"": 0.0042, ""698501022"": 0.0042, ""480385310"": 0.1092, ""609975328"": 0.0462, ""503739169"": 0.0462, ""427786916"": 0.0042, ""555565605"": 0.0042, ""685167781"": 0.0882, ""562257318"": 0.0168, ""684006440"": 0.0168, ""572570408"": 0.0042, ""476338603"": 0.0042, ""645349292"": 0.0042, ""774344109"": 0.0042, ""454859953"": 0.0042, ""437653940"": 0.0084, ""783288375"": 0.0042, ""495103678"": 0.021, ""462660802"": 0.0168, ""485841476"": 0.0084, ""695084100"": 0.0084, ""361832263"": 0.0294, ""726817353"": 0.0042, ""793193419"": 0.0168, ""373550412"": 0.0084, ""719515469"": 0.0168, ""553417426"": 0.0042, ""350542421"": 0.0042, ""614647893"": 0.0042, ""516797278"": 0.0168, ""646002398"": 0.0042, ""765116255"": 0.0042, ""595133025"": 0.0042, ""553089891"": 0.0042, ""526639204"": 0.1471, ""695268711"": 0.042, ""610301035"": 0.0168, ""524239723"": 0.0168, ""439851885"": 0.0462, ""548494318"": 0.0252, ""508355947"": 0.0168, ""539947248"": 0.0294, ""688477934"": 0.0042, ""773942002"": 0.0042, ""479686643"": 0.0126, ""538706675"": 0.0042, ""243127287"": 0.0042}"
beetoken,Bee Token,17,2018-11-07,9,132,0.1591,"{""636038976"": 0.0379, ""535665125"": 0.0758, ""519253638"": 0.2955, ""537815370"": 0.0455, ""774344109"": 0.0076, ""408910965"": 0.0227, ""254609782"": 0.2727, ""437612250"": 0.0076, ""195448475"": 0.2348}"
gincoin,GINcoin,18,2018-11-07,13,153,0.1046,"{""507896418"": 0.2026, ""590973411"": 0.0065, ""501679143"": 0.0458, ""448489127"": 0.0458, ""350366830"": 0.0131, ""580902033"": 0.0196, ""317766578"": 0.1699, ""579523667"": 0.0261, ""681996148"": 0.3856, ""457674585"": 0.0065, ""507501179"": 0.0654, ""518693788"": 0.0065, ""765939103"": 0.0065}"
waltonchain_en,Waltonchain Chat,20,2018-11-07,15,152,0.0789,"{""724573602"": 0.4671, ""432850210"": 0.0066, ""483939814"": 0.0132, ""466489962"": 0.0066, ""48482634"": 0.0132, ""368858892"": 0.0066, ""774344109"": 0.0066, ""320646158"": 0.1382, ""538222002"": 0.0329, ""585943507"": 0.0132, ""261244309"": 0.0132, ""640456181"": 0.2566, ""515196758"": 0.0066, ""402262589"": 0.0066, ""419059774"": 0.0132}"
XMXblock_org,XMax,21,2018-11-07,4,7,0.2857,"{""541174400"": 0.1429, ""530117516"": 0.2857, ""774344109"": 0.1429, ""527436710"": 0.4286}"
cappasity3d,Cappasity (CAPP),24,2018-11-07,3,3,0.0,"{""496461184"": 0.3333, ""454629602"": 0.3333, ""774344109"": 0.3333}"
VERGExvg,Verge Currency,25,2018-11-07,14,46,0.1087,"{""420756096"": 0.1304, ""55323073"": 0.0435, ""381617987"": 0.0217, ""642641924"": 0.0652, ""410439395"": 0.0652, ""701180013"": 0.087, ""582277134"": 0.1087, ""515482319"": 0.0217, ""568169746"": 0.1522, ""616915988"": 0.1522, ""542710805"": 0.0217, ""573748377"": 0.0217, ""140139034"": 0.087, ""314443642"": 0.0217}"
Dimecoinofficialpublic,Dimecoin® Network Community (Official),27,2018-11-07,3,5,0.2,"{""532783553"": 0.6, ""460443110"": 0.2, ""513177094"": 0.2}"
RestartEnergy,RED Restart Energy Democracy,28,2018-11-07,5,10,0.2,"{""593546211"": 0.1, ""225686533"": 0.3, ""368264075"": 0.2, ""774344109"": 0.1, ""518255027"": 0.3}"
,Paragon Official Chat,30,2018-11-07,2,3,0.0,"{""460053667"": 0.6667, ""525596684"": 0.3333}"
block_v,BLOCKv Community,31,2018-11-07,7,11,0.2727,"{""240349410"": 0.0909, ""774344109"": 0.0909, ""391521301"": 0.1818, ""464512086"": 0.1818, ""456486136"": 0.1818, ""343260345"": 0.1818, ""501135548"": 0.0909}"
docToken,doc.com Token (MTC),32,2018-11-07,9,24,0.25,"{""558017858"": 0.0417, ""533640227"": 0.0417, ""487944488"": 0.0417, ""679184720"": 0.0417, ""516729585"": 0.25, ""586553490"": 0.0417, ""661274868"": 0.0417, ""606950169"": 0.4583, ""189053913"": 0.0417}"
Bricks4UsChat,Bricks4Us Marketplace - Chat,33,2018-11-07,4,6,0.1667,"{""84210004"": 0.3333, ""372980142"": 0.3333, ""173475782"": 0.1667, ""551508479"": 0.1667}"
OdysseyOfficial,ODYSSEY (OCN) Official Community,34,2018-11-07,4,8,0.0,"{""541001945"": 0.25, ""506397795"": 0.25, ""503026358"": 0.25, ""520415459"": 0.25}"
crowdmachine,Crowd Machine,37,2018-11-07,2,2,0.0,"{""774344109"": 0.5, ""515234238"": 0.5}"
nexofinance,Nexo.io Community,38,2018-11-07,12,52,0.2308,"{""541497442"": 0.0385, ""394583939"": 0.0192, ""456458793"": 0.0192, ""774344109"": 0.0192, ""54952751"": 0.2308, ""422124559"": 0.0577, ""455379379"": 0.0962, ""508266580"": 0.0769, ""261244309"": 0.1154, ""553141942"": 0.0192, ""372405301"": 0.1731, ""570811003"": 0.1346}"
TradeToken,trade.io English Community Group,39,2018-11-07,9,16,0.1875,"{""280391009"": 0.0625, ""15329986"": 0.0625, ""466274473"": 0.3125, ""774344109"": 0.0625, ""482979790"": 0.0625, ""544392309"": 0.125, ""247318325"": 0.125, ""466899638"": 0.125, ""409743579"": 0.0625}"
bezop,Bezop / Bezex Blockchain,40,2018-11-07,2,2,0.0,"{""244357683"": 0.5, ""774344109"": 0.5}"
electrifyasia,Electrify.Asia (Official),41,2018-11-07,11,33,0.1818,"{""445449793"": 0.0303, ""564865576"": 0.1515, ""649139625"": 0.0303, ""535853293"": 0.0303, ""573206669"": 0.2424, ""774344109"": 0.0303, ""430338616"": 0.0909, ""619504889"": 0.0303, ""395593658"": 0.303, ""138092508"": 0.0303, ""541153854"": 0.0303}"
ZebiData,Zebi,42,2018-11-07,6,7,0.0,"{""400753764"": 0.1429, ""774344109"": 0.1429, ""591925550"": 0.1429, ""520325391"": 0.1429, ""176365905"": 0.2857, ""635136221"": 0.1429}"
channelholo,Holo,43,2018-11-07,14,26,0.2308,"{""590973411"": 0.0385, ""551540966"": 0.0385, ""629042344"": 0.1154, ""444829481"": 0.1538, ""410379627"": 0.0385, ""610183468"": 0.0385, ""210944655"": 0.1154, ""419345"": 0.0769, ""498821236"": 0.0385, ""347313045"": 0.0385, ""605551318"": 0.0385, ""378838875"": 0.1923, ""364701501"": 0.0385, ""546798111"": 0.0385}"
zencash,Horizen (formerly ZenCash),44,2018-11-07,5,5,0.4,"{""402261508"": 0.2, ""543917960"": 0.2, ""551179376"": 0.2, ""481762192"": 0.2, ""486021786"": 0.2}"
sharder_talk,Sharder Talk,45,2018-11-07,8,40,0.175,"{""457751042"": 0.025, ""545477436"": 0.075, ""516670025"": 0.425, ""774344109"": 0.025, ""465993139"": 0.025, ""521341811"": 0.025, ""354471765"": 0.175, ""283024892"": 0.225}"
redpulse,Red Pulse Phoenix,48,2018-11-07,18,130,0.1077,"{""590973411"": 0.0077, ""463573798"": 0.0077, ""427481959"": 0.0923, ""153893416"": 0.3846, ""492549001"": 0.0231, ""450974794"": 0.0077, ""467287752"": 0.0077, ""497516201"": 0.0231, ""186232429"": 0.0846, ""461413230"": 0.0077, ""449765710"": 0.0077, ""11322674"": 0.0077, ""639679444"": 0.0769, ""461882516"": 0.0077, ""283954998"": 0.0077, ""188595930"": 0.0308, ""448764413"": 0.1769, ""330917503"": 0.0385}"
moedaproject,Moeda Only Official English Channel,49,2018-11-07,2,2,0.0,"{""736028101"": 0.5, ""774344109"": 0.5}"
ETHLend,ETHLend Community,50,2018-11-07,2,7,0.2857,"{""353458110"": 0.8571, ""531192582"": 0.1429}"
,The Ivy Project - Official Channel of ivy and ivyKoin,51,2018-11-07,8,15,0.1333,"{""504133858"": 0.0667, ""430138214"": 0.1333, ""431623979"": 0.2667, ""518707339"": 0.0667, ""774344109"": 0.0667, ""394760339"": 0.0667, ""519272536"": 0.2, ""687476223"": 0.1333}"
crypviser,Crypviser Official Group,52,2018-11-07,7,19,0.2105,"{""448969927"": 0.0526, ""270503751"": 0.1053, ""371215694"": 0.0526, ""112462067"": 0.0526, ""327605300"": 0.6316, ""661274868"": 0.0526, ""336958814"": 0.0526}"
flixxo,Flixxo,53,2018-11-07,3,5,0.2,"{""377222453"": 0.2, ""415780028"": 0.6, ""774344109"": 0.2}"
cloakproject,CloakCoin Official,54,2018-11-07,4,10,0.0,"{""401289968"": 0.7, ""396690787"": 0.1, ""500629172"": 0.1, ""438501669"": 0.1}"
NebulaAICommunity,Nebula AI Community,55,2018-11-07,2,2,0.5,"{""143728189"": 0.5, ""774344109"": 0.5}"
nexty_io,Nexty.io - Community,56,2018-11-07,4,7,0.2857,"{""665239616"": 0.2857, ""564894545"": 0.2857, ""604534400"": 0.1429, ""585912863"": 0.2857}"
nknorg,NKN,57,2018-11-07,5,9,0.2222,"{""457388653"": 0.4444, ""718850768"": 0.1111, ""517655990"": 0.1111, ""396554970"": 0.1111, ""472719229"": 0.2222}"
myCOSS,COSS - General Discussions,58,2018-11-07,15,121,0.0992,"{""540879970"": 0.0083, ""504964389"": 0.0165, ""462834761"": 0.0083, ""537511083"": 0.0331, ""665662028"": 0.0165, ""436499181"": 0.0248, ""406848523"": 0.0413, ""610040687"": 0.0165, ""774344109"": 0.0083, ""396282129"": 0.0744, ""181573269"": 0.0165, ""507501496"": 0.2893, ""15361017"": 0.3719, ""543802171"": 0.0661, ""450766525"": 0.0083}"
adexnetwork,AdEx Network,59,2018-11-07,3,3,0.0,"{""409777361"": 0.3333, ""463276795"": 0.3333, ""774344109"": 0.3333}"
officialelectroneum,Electroneum,60,2018-11-07,14,41,0.0732,"{""543986561"": 0.0244, ""719541990"": 0.0244, ""70448745"": 0.1463, ""480268970"": 0.0976, ""625132457"": 0.122, ""488712430"": 0.0488, ""210944655"": 0.0244, ""436973968"": 0.1707, ""741461361"": 0.0244, ""431518256"": 0.0976, ""261244309"": 0.1463, ""638802709"": 0.0244, ""499745082"": 0.0244, ""373831323"": 0.0244}"
genesisvision,Genesis Vision,61,2018-11-07,19,33,0.2121,"{""146554112"": 0.1212, ""527164035"": 0.0303, ""509639315"": 0.1212, ""384122391"": 0.0606, ""438501669"": 0.0303, ""691197095"": 0.0303, ""440851882"": 0.0303, ""548722476"": 0.0303, ""774344109"": 0.0303, ""380651203"": 0.1212, ""461552583"": 0.1212, ""707341006"": 0.0303, ""484383956"": 0.0606, ""492796643"": 0.0303, ""432461797"": 0.0303, ""380905831"": 0.0303, ""493875058"": 0.0303, ""494357365"": 0.0303, ""627632885"": 0.0303}"
Nulsio,NULS Community,62,2018-11-07,14,44,0.1364,"{""537115554"": 0.0455, ""403875876"": 0.1818, ""548892297"": 0.0455, ""121725289"": 0.0455, ""282914701"": 0.0455, ""452267119"": 0.0227, ""683149779"": 0.0682, ""511901843"": 0.0227, ""465046295"": 0.1364, ""530704857"": 0.0455, ""389573692"": 0.0227, ""524901341"": 0.2273, ""457656126"": 0.0682, ""459082335"": 0.0227}"
solariscoin,Solaris (XLR),63,2018-11-07,2,4,0.25,"{""545578654"": 0.25, ""675206359"": 0.75}"
APEXcommunity,APEX Network,64,2018-11-07,17,77,0.1558,"{""379172032"": 0.013, ""521684737"": 0.1818, ""522478531"": 0.039, ""516271269"": 0.2727, ""258398853"": 0.013, ""489959686"": 0.039, ""578517381"": 0.039, ""497516201"": 0.026, ""507778940"": 0.013, ""535643248"": 0.013, ""403299475"": 0.013, ""508285244"": 0.0779, ""512328408"": 0.026, ""451835001"": 0.0519, ""531541756"": 0.039, ""95650718"": 0.026, ""381832127"": 0.1169}"
eximchain,Eximchain,65,2018-11-07,3,3,0.3333,"{""542220185"": 0.3333, ""368510485"": 0.3333, ""774344109"": 0.3333}"
matrixainetwork,MATRIX AI Network,66,2018-11-07,15,77,0.1558,"{""462662330"": 0.026, ""81056676"": 0.3377, ""503332040"": 0.0649, ""420229232"": 0.0649, ""508844241"": 0.039, ""625280601"": 0.026, ""507426771"": 0.013, ""483800914"": 0.026, ""361483509"": 0.2468, ""486126134"": 0.013, ""526874326"": 0.013, ""453725621"": 0.026, ""546373177"": 0.0519, ""542710805"": 0.039, ""616291772"": 0.013}"
enjin_coin,Enjin,67,2018-11-07,11,20,0.1,"{""459311684"": 0.05, ""545303142"": 0.05, ""489736007"": 0.05, ""774344109"": 0.05, ""494630191"": 0.05, ""234863058"": 0.05, ""661274868"": 0.05, ""532907093"": 0.1, ""611040697"": 0.05, ""482948252"": 0.05, ""368182077"": 0.45}"
OfficialDecentBet,DECENT.bet Official (English),68,2018-11-07,7,32,0.0,"{""673099648"": 0.0312, ""405638406"": 0.0312, ""574694568"": 0.0938, ""210944655"": 0.25, ""340170228"": 0.5, ""435275318"": 0.0625, ""635136221"": 0.0312}"
CallistoNet,CallistoNetwork,69,2018-11-07,3,10,0.2,"{""287842319"": 0.2, ""667427606"": 0.6, ""210944655"": 0.2}"
iocoin_official,I/O Coin Community,70,2018-11-07,3,3,0.3333,"{""211277292"": 0.3333, ""590973411"": 0.3333, ""665681212"": 0.3333}"
utrustofficial,UTRUST,71,2018-11-07,4,5,0.4,"{""451215490"": 0.2, ""528214251"": 0.2, ""580578333"": 0.4, ""496308871"": 0.2}"
,EXRNchain Community,74,2018-11-07,1,1,0.0,"{""420811828"": 1.0}"
MithrilChat,Mithril Community,75,2018-11-07,7,9,0.1111,"{""225309216"": 0.1111, ""453162468"": 0.3333, ""531097770"": 0.1111, ""595741164"": 0.1111, ""774344109"": 0.1111, ""496104690"": 0.1111, ""472600246"": 0.1111}"
THEKEYOFFICIAL,THEKEY OFFICIAL,76,2018-11-07,4,4,0.0,"{""500338217"": 0.25, ""715189013"": 0.25, ""741014716"": 0.25, ""409441777"": 0.25}"
adbanknetwork,Adbank,77,2018-11-07,1,1,0.0,"{""501039439"": 1.0}"
groestl,Groestlcoin (GRS),78,2018-11-07,1,1,1.0,"{""609089434"": 1.0}"
cindicator_chat,Cindicator_chat,80,2018-11-07,1,2,0.0,"{""349052958"": 1.0}"
Envion,ENVION,81,2018-11-07,1,1,0.0,"{""774344109"": 1.0}"
